modelo,accuracy,precision,recall,f1,roc_auc
Random Forest,0.9170305676855895,0.8421052631578947,0.5,0.6274509803921569,0.91061230964467
Regressão Logística,0.7947598253275109,0.3684210526315789,0.65625,0.47191011235955055,0.8621510152284264
Baseline,0.8602620087336245,0.0,0.0,0.0,0.5
